real,synth,fen,viewpoint
data/real/images/game6_frame_029716.jpg,data/synth/images/row000000_white_4fdc8e8c.png,7q/3b2k1/2p1pn2/pP1p1pN1/3P1Pp1/1PPBP1P1/1K4Q1/8,white
data/real/images/game6_frame_008644.jpg,data/synth/images/row000009_white_36c085cc.png,r7/pbpn2k1/1p1qp3/3p1p2/3P2p1/2P1PN2/PPQ1BPP1/2K4R,white
data/real/images_rot180/game6_frame_005384_rot180.jpg,data/synth/images/row000019_black_c758af8f.png,rn5r/pbp3k1/1p1qp3/3p1ppB/3P4/2P1P3/PPQN1PPP/R3K2R,black
data/real/images_rot180/game6_frame_020708_rot180.jpg,data/synth/images/row000023_black_b7aa7408.png,8/p1pq2k1/1pb1pn2/3p1pN1/3P1Pp1/2PBP1P1/PP5Q/2K5,black
data/real/images_rot180/game6_frame_001100_rot180.jpg,data/synth/images/row000029_black_9affd40f.png,rn1q1rk1/pbp2ppp/1p1bpn2/3p4/3P4/2P1PNB1/PP1N1PPP/R2QKB1R,black
data/real/images/game6_frame_017664.jpg,data/synth/images/row000035_white_12e84edf.png,r7/p1p3k1/1pbqpn2/3p1pN1/3P1Pp1/2PBP3/PPQ3P1/2K4R,white
data/real/images_rot180/game6_frame_003248_rot180.jpg,data/synth/images/row000047_black_7a23c5f3.png,rn1q1rk1/pbp3pp/1p1bpp2/3p4/3P3B/2PBPN2/PPQn1PPP/R3K2R,black
data/real/images/game6_frame_000788.jpg,data/synth/images/row000054_white_922ef517.png,rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4P3/PPPN1PPP/R2QKBNR,white
data/real/images/game6_frame_023292.jpg,data/synth/images/row000057_white_0a4f7cab.png,4q3/p1pb2k1/1p2pn2/3p1pN1/3P1Pp1/1PPBP1P1/PK2Q3/8,white
data/real/images/game6_frame_027248.jpg,data/synth/images/row000067_white_0bda12c9.png,4q3/3b2k1/1pp1p3/p2p1pNn/P2P1PpQ/1PPBP1P1/1K6/8,white
data/real/images_rot180/game6_frame_032832_rot180.jpg,data/synth/images/row000082_black_f1f00dd8.png,8/3b2k1/4pn2/5pN1/ppBP1Pp1/1P2q1P1/K7/7Q,black
data/real/images/game6_frame_002000.jpg,data/synth/images/row000092_white_0cb21328.png,rn1q1rk1/pbp3pp/1p1bpp2/3p4/3Pn2B/2PBPN2/PP1N1PPP/R2QK2R,white
data/real/images_rot180/game6_frame_001216_rot180.jpg,data/synth/images/row000097_black_a7257e13.png,rn1q1rk1/pbp2ppp/1p1bpn2/3p4/3P4/2PBPNB1/PP1N1PPP/R2QK2R,black
data/real/images/game6_frame_004460.jpg,data/synth/images/row000101_white_92d73beb.png,rn1q1r1k/pbp4B/1p1bp3/3p1pp1/3P4/2P1P1B1/PPQN1PPP/R3K2R,white
data/real/images/game6_frame_033648.jpg,data/synth/images/row000104_white_f8c13b68.png,8/1Q4k1/4bn2/5p2/1pBP1Pp1/pP4P1/3q4/1K6,white
data/real/images/game6_frame_003604.jpg,data/synth/images/row000107_white_1d7edc4d.png,rn1q1rk1/pbp3pB/1p1bpp2/3p4/3P3B/2P1PN2/PPQn1PPP/R3K2R,white
data/real/images_rot180/game6_frame_011180_rot180.jpg,data/synth/images/row000110_black_d5c86125.png,r7/pbp3k1/1p1qpn2/3p1pN1/3P2p1/2P1P3/PPQ1BPP1/2K4R,black
data/real/images_rot180/game6_frame_000692_rot180.jpg,data/synth/images/row000120_black_a70498f2.png,rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR,black
data/real/images_rot180/game6_frame_011688_rot180.jpg,data/synth/images/row000134_black_cd35d513.png,r7/pbp3k1/1p1qpn2/3p1pN1/3P1Pp1/2P1P3/PPQ1B1P1/2K4R,black
data/real/images_rot180/game6_frame_003724_rot180.jpg,data/synth/images/row000137_black_79cc99b3.png,rn1q1r1k/pbp3pB/1p1bpp2/3p4/3P3B/2P1PN2/PPQn1PPP/R3K2R,black
data/real/images/game6_frame_008000.jpg,data/synth/images/row000139_white_f9dca780.png,r7/pbpn2k1/1p1qp3/3p1pp1/3P4/2P1PN2/PPQ1BPPr/2KR3R,white
