path,action,moved_to
data\chessred2k_rect_pov\real_ok\g19_m0000_img0002383_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0001_img0002384_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0000_img0002383_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0000_img0002383_bpov.png
data\chessred2k_rect_pov\real_ok\g19_m0001_img0002384_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0001_img0002384_bpov.png
data\chessred2k_rect_pov\real_ok\g19_m0002_img0002385_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0002_img0002385_bpov.png
data\chessred2k_rect_pov\real_ok\g19_m0005_img0002388_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0005_img0002388_bpov.png
data\chessred2k_rect_pov\real_ok\g19_m0014_img0002397_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0015_img0002398_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0017_img0002400_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0019_img0002402_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0023_img0002406_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0026_img0002409_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0026_img0002409_bpov.png
data\chessred2k_rect_pov\real_ok\g19_m0040_img0002423_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0040_img0002423_bpov.png
data\chessred2k_rect_pov\real_ok\g19_m0061_img0002444_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0070_img0002453_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0070_img0002453_bpov.png
data\chessred2k_rect_pov\real_ok\g19_m0087_img0002470_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0089_img0002472_bpov.png,keep,
data\chessred2k_rect_pov\real_ok\g19_m0091_img0002474_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0091_img0002474_bpov.png
data\chessred2k_rect_pov\real_ok\g19_m0107_img0002490_bpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g19_m0107_img0002490_bpov.png
data\chessred2k_rect_pov\real_ok\g22_m0001_img0002709_wpov.png,move_top,data\chessred2k_rect_pov\real_top_pov\g22_m0001_img0002709_wpov.png
